up:/body.lighting.exterior/1/lamp.left_task#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.exterior/1/lamp.right_task#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.exterior/1/lamp.front_left_turn#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.exterior/1/lamp.front_right_turn#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.exterior/1/lamp.rear_left_turn#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.exterior/1/lamp.rear_right_turn#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.ambientmood_front_footwell#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.ambientmood_rear_footwell#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.ambientmood_front_left_door_handle#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.ambientmood_front_right_door_handle#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.ambientmood_rear_left_door_handle#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.ambientmood_rear_right_door_handle#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.ambientmood_instrument_panel#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.ambientmood_overhead#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.cargo_bed#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.cargo_hitch#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.cargo_mirror#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.cargo#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/lamp.dome#Lamp,vehicle.body.lighting.v1.Lamp
up:/body.lighting.interior/1/interior_lamp_defeat#InteriorLampDefeat,vehicle.body.lighting.v1.InteriorLampDefeat
up:/body.seating/1/seat.row1_left#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row1_left#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row1_left#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/body.seating/1/seat.row1_center#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row1_center#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row1_center#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/body.seating/1/seat.row1_right#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row1_right#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row1_right#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/body.seating/1/seat.row2_left#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row2_left#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row2_left#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/body.seating/1/seat.row2_center#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row2_center#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row2_center#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/body.seating/1/seat.row2_right#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row2_right#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row2_right#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/body.seating/1/seat.row3_left#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row3_left#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row3_left#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/body.seating/1/seat.row3_center#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row3_center#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row3_center#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/body.seating/1/seat.row3_right#SeatTemperature,vehicle.body.seating.v1.SeatTemperature
up:/body.seating/1/seat.row3_right#SeatOccupantSafety,vehicle.body.seating.v1.SeatOccupantSafety
up:/body.seating/1/seat.row3_right#SeatMassage,vehicle.body.seating.v1.SeatMassage
up:/chassis.braking/1/brake_pedal#BrakePedal,vehicle.chassis.braking.v1.BrakePedal
up:/chassis.braking/1/brake_pads.front#BrakePads,vehicle.chassis.braking.v1.BrakePads
up:/chassis.braking/1/brake_pads.rear#BrakePads,vehicle.chassis.braking.v1.BrakePads
up:/chassis.suspension/1/ride_height#RideHeight,vehicle.chassis.suspension.v1.RideHeight
up:/chassis.suspension/1/ride_height_system_status#RideHeightSystemStatus,vehicle.chassis.suspension.v1.RideHeightSystemStatus
up:/chassis/1/tire.front_left#Tire,vehicle.chassis.v1.Tire
up:/chassis/1/tire.front_right#Tire,vehicle.chassis.v1.Tire
up:/chassis/1/tire.rear_left#Tire,vehicle.chassis.v1.Tire
up:/chassis/1/tire.rear_right#Tire,vehicle.chassis.v1.Tire
up:/chassis/1/tire.rear_left_inner#Tire,vehicle.chassis.v1.Tire
up:/chassis/1/tire.rear_right_inner#Tire,vehicle.chassis.v1.Tire
up:/chassis/1/traction_control_system#TractionControlSystem,vehicle.chassis.v1.TractionControlSystem
up:/chassis/1/electronic_stability_control_system#ElectronicStabilityControlSystem,vehicle.chassis.v1.ElectronicStabilityControlSystem
up:/energy.high_voltage.battery/1/battery#BatteryState,vehicle.energy.high_voltage.battery.v1.BatteryState
up:/energy.high_voltage.battery/1/battery#BatteryProperties,vehicle.energy.high_voltage.battery.v1.BatteryProperties
up:/energy.high_voltage.battery/1/battery#EnergyState,vehicle.energy.high_voltage.battery.v1.EnergyState
up:/energy.high_voltage.battery/1/battery#Temperature,vehicle.energy.high_voltage.battery.v1.Temperature
up:/energy.high_voltage.battery/1/battery#BatteryPreconditioning,vehicle.energy.high_voltage.battery.v1.BatteryPreconditioning
up:/energy.high_voltage.battery/1/battery#InstantaneousPowerOutput,vehicle.energy.high_voltage.battery.v1.InstantaneousPowerOutput
up:/energy.high_voltage.charging/1/battery#CouplerState,vehicle.energy.high_voltage.charging.v1.CouplerState
up:/energy.high_voltage.charging/1/battery#ChargingTime,vehicle.energy.high_voltage.charging.v1.ChargingTime
up:/energy.high_voltage.charging/1/battery#ChargingPerformance,vehicle.energy.high_voltage.charging.v1.ChargingPerformance
up:/energy.high_voltage.charging/1/battery#ChargeStatus,vehicle.energy.high_voltage.charging.v1.ChargeStatus
up:/energy.high_voltage.charging/1/battery#ChargingServiceProfile,vehicle.energy.high_voltage.charging.v1.ChargingServiceProfile
up:/energy.high_voltage.charging_station/1/charging_station#EvseCharacteristics,vehicle.energy.high_voltage.charging_station.v1.EvseCharacteristics
up:/energy.high_voltage.charging_station/1/charging_station#ChargingPowerInfo,vehicle.energy.high_voltage.charging_station.v1.ChargingPowerInfo
up:/energy.power_management/1/vehicle_subsystem.propulsion#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.vehicle_access#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.electrification#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.low_voltage_power#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.camera#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.connectivity#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.infotainment#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.charging#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.interior_lighting#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_subsystem.exterior_lighting#VehicleSubsystem,vehicle.energy.power_management.v1.VehicleSubsystem
up:/energy.power_management/1/vehicle_mode#VehicleMode,vehicle.energy.power_management.v1.VehicleMode
up:/energy.power_management/1/notification#SetUsageProfileRequestStatus,vehicle.energy.power_management.v1.SetUsageProfileRequestStatus
up:/energy.power_management/1/notification#ActivateVehicleSubsystemRequestStatus,vehicle.energy.power_management.v1.ActivateVehicleSubsystemRequestStatus
up:/vehicle.exterior/1/exterior_environment#SolarInformation,vehicle.exterior.v1.SolarInformation
up:/vehicle.exterior/1/exterior_environment#Temperature,vehicle.exterior.v1.Temperature
up:/vehicle.exterior/1/exterior_environment#AmbientLight,vehicle.exterior.v1.AmbientLight
up:/vehicle.geofencing/1/restricted_zone.restricted_camera#RestrictedZone,vehicle.geofencing.v1.RestrictedZone
up:/propulsion.engine/1/air_filter#AirFilter,vehicle.propulsion.engine.v1.AirFilter
up:/propulsion.engine/1/oil#Oil,vehicle.propulsion.engine.v1.Oil
up:/propulsion.engine/1/coolant#Coolant,vehicle.propulsion.engine.v1.Coolant
up:/propulsion.engine/1/engine_state#EngineState,vehicle.propulsion.engine.v1.EngineState
up:/propulsion.transmission/1/gear#VehicleGearState,vehicle.propulsion.transmission.v1.VehicleGearState
up:/propulsion.transmission/1/gearbox.primary#Gearbox,vehicle.propulsion.transmission.v1.Gearbox
up:/propulsion.transmission/1/gearbox.secondary#Gearbox,vehicle.propulsion.transmission.v1.Gearbox
up:/sensors.camera/1/view.interior_first_row#CameraFrame,vehicle.sensors.camera.v1.CameraFrame
up:/sensors.camera/1/view.interior_first_row#StreamStatus,vehicle.sensors.camera.v1.StreamStatus
up:/sensors.camera/1/view.interior_first_row#FrameInvalid,vehicle.sensors.camera.v1.FrameInvalid
up:/sensors.camera/1/view.interior_first_row#CapabilityInfo,vehicle.sensors.camera.v1.CapabilityInfo
up:/sensors.camera/1/view.interior_second_row#CameraFrame,vehicle.sensors.camera.v1.CameraFrame
up:/sensors.camera/1/view.interior_second_row#StreamStatus,vehicle.sensors.camera.v1.StreamStatus
up:/sensors.camera/1/view.interior_second_row#FrameInvalid,vehicle.sensors.camera.v1.FrameInvalid
up:/sensors.camera/1/view.interior_second_row#CapabilityInfo,vehicle.sensors.camera.v1.CapabilityInfo
up:/sensors.camera/1/view.rear_perspective#CameraFrame,vehicle.sensors.camera.v1.CameraFrame
up:/sensors.camera/1/view.rear_perspective#StreamStatus,vehicle.sensors.camera.v1.StreamStatus
up:/sensors.camera/1/view.rear_perspective#FrameInvalid,vehicle.sensors.camera.v1.FrameInvalid
up:/sensors.camera/1/view.rear_perspective#CapabilityInfo,vehicle.sensors.camera.v1.CapabilityInfo
up:/sensors.camera/1/view.front_perspective#CameraFrame,vehicle.sensors.camera.v1.CameraFrame
up:/sensors.camera/1/view.front_perspective#StreamStatus,vehicle.sensors.camera.v1.StreamStatus
up:/sensors.camera/1/view.front_perspective#FrameInvalid,vehicle.sensors.camera.v1.FrameInvalid
up:/sensors.camera/1/view.front_perspective#CapabilityInfo,vehicle.sensors.camera.v1.CapabilityInfo
